loss,accuracy,precision,recall,auc,val_loss,val_accuracy,val_precision,val_recall,val_auc,lr
0.33160528540611267,0.8540821075439453,0.9469773769378662,0.8512446880340576,0.9331845641136169,0.431625634431839,0.8005114793777466,0.9953380227088928,0.7349397540092468,0.9763660430908203,0.001
0.22527633607387543,0.9043752551078796,0.9698755741119385,0.8992106914520264,0.9683699607849121,0.16092164814472198,0.9335038065910339,0.9871086478233337,0.9225473403930664,0.9873695373535156,0.001
0.19266098737716675,0.9239963889122009,0.9755548238754272,0.9207650423049927,0.9764388203620911,0.17793039977550507,0.9181585907936096,0.9795918464660645,0.9087779521942139,0.9831094145774841,0.001
0.18703998625278473,0.924221932888031,0.9755626916885376,0.9210686087608337,0.9777244329452515,0.19915713369846344,0.9168797731399536,0.9904943108558655,0.8967297673225403,0.9858795404434204,0.001
0.18850046396255493,0.9212900400161743,0.9763830304145813,0.9162113070487976,0.9774838089942932,0.15328438580036163,0.9373401403427124,0.9602076411247253,0.955249547958374,0.9825313687324524,0.001
0.17666226625442505,0.9298601746559143,0.9803542494773865,0.9241044521331787,0.9796159863471985,0.13224683701992035,0.9462915658950806,0.9838420152664185,0.9432013630867004,0.9897158145904541,0.001
0.1766013354063034,0.9300857186317444,0.9806700944900513,0.9241044521331787,0.9797793030738831,0.2002982199192047,0.9143222570419312,0.9942307472229004,0.889845073223114,0.9895359873771667,0.001
0.17329081892967224,0.9318899512290955,0.980719804763794,0.9265331029891968,0.9804155230522156,0.14319121837615967,0.948849081993103,0.9655765891075134,0.9655765891075134,0.9835417866706848,0.001
0.16328643262386322,0.9307622909545898,0.9797623157501221,0.9259259104728699,0.9823228120803833,0.20413857698440552,0.9092071652412415,0.9903846383094788,0.8864027261734009,0.9890222549438477,0.001
0.16189627349376678,0.9300857186317444,0.9754620790481567,0.9292653203010559,0.9831513166427612,0.13982731103897095,0.9475703239440918,0.9856114983558655,0.9432013630867004,0.9896301031112671,0.001
0.14249873161315918,0.9395579695701599,0.983077883720398,0.934729814529419,0.9864572882652283,0.14581453800201416,0.9335038065910339,0.9889094233512878,0.9208261370658875,0.9912528991699219,0.0005
0.14329363405704498,0.9377537369728088,0.980879545211792,0.9344262480735779,0.986016571521759,0.16412390768527985,0.927109956741333,0.9888059496879578,0.912220299243927,0.9894589185714722,0.0005
0.15173420310020447,0.9364005327224731,0.982692301273346,0.9307832717895508,0.9853681921958923,0.1416940540075302,0.9450128078460693,0.9890909194946289,0.9363166689872742,0.9893218278884888,0.0005
0.14743204414844513,0.9382047653198242,0.9833546876907349,0.9326047301292419,0.9857851266860962,0.15065288543701172,0.9373401403427124,0.9889705777168274,0.9259896874427795,0.9900797009468079,0.0005
0.14859208464622498,0.9402345418930054,0.9830940961837769,0.9356405735015869,0.9853248596191406,0.12907341122627258,0.9450128078460693,0.9838129281997681,0.9414802193641663,0.9905250072479248,0.00025
0.1406353861093521,0.9433919787406921,0.9847084879875183,0.938372790813446,0.9866341352462769,0.16526883840560913,0.927109956741333,0.9869888424873352,0.913941502571106,0.9882771968841553,0.00025
0.14160260558128357,0.9395579695701599,0.9833865761756897,0.9344262480735779,0.9866868257522583,0.15366709232330322,0.9347826242446899,0.9944030046463013,0.9173838496208191,0.9928027391433716,0.00025
0.1339186280965805,0.9476770162582397,0.9869592785835266,0.9420157670974731,0.987858772277832,0.1357761025428772,0.9462915658950806,0.9908925294876099,0.9363166689872742,0.9914199113845825,0.00025
0.13430695235729218,0.942940890789032,0.9837734699249268,0.9386763572692871,0.9877724051475525,0.14317439496517181,0.9437339901924133,0.9908592104911804,0.9328743815422058,0.9918909072875977,0.00025
0.13930051028728485,0.9433919787406921,0.9856367707252502,0.9374620318412781,0.9872657656669617,0.16556201875209808,0.9322250485420227,0.9907063245773315,0.9173838496208191,0.9874294996261597,0.000125
0.13252659142017365,0.9445196390151978,0.985659658908844,0.938979983329773,0.9879919290542603,0.16510875523090363,0.9335038065910339,0.9907235503196716,0.9191049933433533,0.9890007376670837,0.000125
0.15595950186252594,0.9386558532714844,0.9793781638145447,0.937158465385437,0.984656572341919,0.13792268931865692,0.9411764740943909,0.9890310764312744,0.9311531782150269,0.9922631978988647,0.000125
0.13459663093090057,0.941362202167511,0.9840459227561951,0.936247706413269,0.9882520437240601,0.15026253461837769,0.9373401403427124,0.9871794581413269,0.9277108311653137,0.9894075393676758,0.000125
0.14018119871616364,0.9424898624420166,0.9828407764434814,0.938979983329773,0.9872934222221375,0.15465320646762848,0.928388774394989,0.9870129823684692,0.9156626462936401,0.9902724027633667,6.25e-05
0.13632282614707947,0.9433919787406921,0.9825562834739685,0.940497875213623,0.9872577786445618,0.15838292241096497,0.9347826242446899,0.9907407164573669,0.9208261370658875,0.9897115230560303,6.25e-05
