loss,accuracy,precision,recall,auc,val_loss,val_accuracy,val_precision,val_recall,val_auc,lr
0.6615564823150635,0.5805214643478394,0.8153271079063416,0.5628387331962585,0.6435499787330627,0.596519410610199,0.6875,0.6363636255264282,0.875,0.8125,0.001
0.5631086230278015,0.69804447889328,0.9026610851287842,0.6652902960777283,0.7831499576568604,0.5279285311698914,0.625,0.75,0.375,0.875,0.001
0.46178844571113586,0.76054447889328,0.9373750686645508,0.7261935472488403,0.8648542165756226,0.38367748260498047,0.8125,0.7777777910232544,0.875,0.90625,0.001
0.3794671893119812,0.8157591819763184,0.9538940787315369,0.7901935577392578,0.9099080562591553,0.3398468494415283,0.8125,0.8571428656578064,0.75,0.953125,0.001
0.344876229763031,0.837806761264801,0.9590784907341003,0.816516101360321,0.9240867495536804,0.39595621824264526,0.8125,0.7777777910232544,0.875,0.9375,0.001
0.32336392998695374,0.8495015501976013,0.9631295204162598,0.8291612863540649,0.9325953125953674,0.508558452129364,0.8125,0.7777777910232544,0.875,0.90625,0.001
0.29256266355514526,0.8680981397628784,0.9655272960662842,0.8529032468795776,0.9452794194221497,0.3200756311416626,0.875,0.800000011920929,1.0,0.96875,0.001
0.2886826992034912,0.8700153231620789,0.9664429426193237,0.8547096848487854,0.9471721053123474,0.374875009059906,0.8125,0.7777777910232544,0.875,0.953125,0.001
0.28232187032699585,0.8705905079841614,0.9678362607955933,0.8541935682296753,0.9494516849517822,0.41811591386795044,0.75,0.75,0.75,0.9296875,0.001
0.25742602348327637,0.8874616622924805,0.9718714356422424,0.8738064765930176,0.9572108387947083,0.3355928659439087,0.875,1.0,0.75,0.9375,0.001
0.24784041941165924,0.8849693536758423,0.9714943766593933,0.8707096576690674,0.9600182175636292,0.34454602003097534,0.8125,0.7777777910232544,0.875,0.90625,0.0005
0.21681144833564758,0.9068251252174377,0.9763845801353455,0.8962580561637878,0.969151496887207,0.28959232568740845,0.875,0.800000011920929,1.0,0.96875,0.0005
0.2156171202659607,0.9033742547035217,0.9778848886489868,0.890064537525177,0.9692318439483643,0.24373605847358704,0.875,0.800000011920929,1.0,0.9453125,0.0005
0.2266281247138977,0.9024156332015991,0.9762309193611145,0.8903225660324097,0.9659736156463623,0.4523898959159851,0.8125,0.7272727489471436,1.0,0.953125,0.0005
0.21081136167049408,0.9106594920158386,0.9773172736167908,0.9006451368331909,0.970616340637207,0.24274395406246185,0.875,0.800000011920929,1.0,0.984375,0.0005
0.21184498071670532,0.9091257452964783,0.978071391582489,0.8978064656257629,0.9701735973358154,0.3053133487701416,0.8125,0.8571428656578064,0.75,0.96875,0.0005
0.20640844106674194,0.9133435487747192,0.9803536534309387,0.9014193415641785,0.9708080887794495,0.2560139298439026,0.875,0.875,0.875,0.984375,0.0005
0.19348813593387604,0.9162193536758423,0.978830099105835,0.9068387150764465,0.9753657579421997,0.17576594650745392,1.0,1.0,1.0,1.0,0.0005
0.1991141438484192,0.9114263653755188,0.9770757555961609,0.9019354581832886,0.973959743976593,0.3172834515571594,0.8125,0.7777777910232544,0.875,0.953125,0.0005
0.18568405508995056,0.9183282256126404,0.978628933429718,0.909935474395752,0.977116584777832,0.23182746767997742,0.9375,0.8888888955116272,1.0,0.9921875,0.0005
0.1862199306488037,0.921012282371521,0.9800388216972351,0.9122580885887146,0.9769606590270996,0.333168625831604,0.8125,0.7272727489471436,1.0,0.984375,0.0005
0.18254354596138,0.9275306463241577,0.9820788502693176,0.919225811958313,0.9783154726028442,0.22720175981521606,0.875,0.800000011920929,1.0,1.0,0.00025
0.16463348269462585,0.9267638325691223,0.9817931056022644,0.9184516072273254,0.9816718101501465,0.609965443611145,0.8125,0.7272727489471436,1.0,0.9765625,0.00025
